"Summary of tests for positive selection at the 6,520 single-copy orthologs. Also included are measures of codon bias (ENC and Nc') and GC content.  ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Official Gene ID,Common_name,Synonyms,Best Genbank Hit,Total No. of Codons,No. of Codons Analyzed,Model M0 dN,Model M0 dS,Model M0 dN/dS,Model M0 kappa,p1M8,Model M0 lnL,Model M7 lnL,Model M8 lnL,M8 vs. M7 LRT Score,Empirical P-value,Empirical Q-value,Empirical Lfdr,Effective No. of Codons (ENC),Novembre's Nc',GC Content,3rd position GC Content,Intron GC Content,Flanking Region GC Content
SPU_000118,Sp-Aasdhppt,Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase ,16876895,287,203,0.0084,0.3028,0.02761,1.16072,0.02287,-1050.83,-1048.84,-1048.64,0.409504,0.355589,0.393442,1,51.35,46.737,0.465,0.468,0.352034,0.345
SPU_026078,Sp-Act_5,actin 5 [Aedes aegypti],AAY81972.1,376,328,0.008,0.328,0.02425,1.96944,0.0166,-1742.4,-1740.4,-1740.2,0.409438,0.355589,0.393442,1,48.84,40.0582,0.534,0.617,0.349592,0.344
SPU_013725,Sp-Rnmt7,RNA (guanine-7-) methyltransferase; mRNA cap guanine-N7 methyltransferase,BAB27527.1,455,355,0.0276,0.2452,0.11262,1.49335,0.01648,-1909.11,-1901.28,-1901.07,0.40876,0.355677,0.393501,1,52.98,47.8012,0.501,0.537,0.340781,0.3335
SPU_016099,Sp-Hypp_812,hypothetical protein-812; plant auxin-responsive GH3-like,EEA79074.1,639,466,0.0685,0.2614,0.2621,1.81807,0.09347,-2868.11,-2862.04,-2861.84,0.406834,0.356117,0.393796,1,58.65,54.1787,0.479,0.518,0.374729,0.384479
SPU_010045,Sp-Rbp4L,retinol binding protein 4-like,NP_900569.1,396,193,0.0657,0.267,0.24597,3.41114,0.13046,-1164.02,-1159.78,-1159.58,0.406464,0.356293,0.393914,1,59.49,50.6673,0.502,0.551,0.340323,0.351839
SPU_027860,Sp-C16orf62,human chromosome 16 open reading frame 62,AAH14900.2,442,174,0.0353,0.3805,0.09267,1.67693,0.0637,-1030.19,-1020.51,-1020.31,0.406222,0.356558,0.394092,1,54.59,49.4714,0.476,0.556,0.348658,0.35303
SPU_021084,Sp-Fnip2,folliculin interacting protein 2,XP_532705.2,1180,868,0.053,0.2398,0.22109,2.41712,0.03704,-5107.84,-5091.54,-5091.34,0.404974,0.35691,0.394327,1,55.66,51.5093,0.478,0.509,0.359262,0.441585
SPU_011848,Sp-Dnajc2,"DnaJ (Hsp40) homolog, subfamily C, member 2",EAW83330.1,624,305,0.0619,0.2963,0.20892,1.09745,0.13911,-1857.68,-1848.48,-1848.28,0.404088,0.357262,0.394563,1,54.99,55.9438,0.465,0.458,0.373461,0.36
SPU_024473,Sp-Ampd,AMP deaminase 2 (AMP deaminase) ,12644375,700,570,0.0425,0.466,0.09124,1.39341,0.00149,-3561.18,-3536.34,-3536.13,0.40377,0.357262,0.394563,1,53.2,48.2363,0.48,0.569,0.361536,0.3585
SPU_002725,Sp-Hgd,"Homogentisate 1,2-dioxygenase (Homogentisicase) (Homogentisate oxygenase) (Homogentisic acid oxidase)",7387755,498,379,0.0208,0.3693,0.05633,1.80997,0.02933,-2181.52,-2176.82,-2176.62,0.402552,0.357527,0.39474,1,56.26,49.8702,0.513,0.513,0.364244,0.3835
SPU_000878,Sp-Hypp_1289,hypothetical protein-1289; collagen-like,XP_002245457.1,328,267,0.0909,0.3404,0.26712,1.89271,0.01886,-1808.07,-1800.42,-1800.22,0.40211,0.357615,0.394799,1,58.52,53.651,0.512,0.503,0.36062,0.379
SPU_026577,Sp-Adsda,adenosine deaminase,47224485,360,239,0.0678,0.3836,0.17682,3.23239,0.10421,-1562.5,-1553.88,-1553.67,0.40122,0.357791,0.394916,1,58.1,55.2092,0.469,0.456,0.364177,0.3705
SPU_028451,Sp-Abcd4,ATP-binding cassette sub-family D member 4 (Peroxisomal membrane protein 69) (PMP69) (Peroxisomal membrane protein 1-like) (PXMP1-L) (P70R) ,6831464,315,224,0.0281,0.2857,0.0983,2.42064,0.0049,-1280.64,-1279.6,-1279.4,0.3999,0.358055,0.395092,1,51.75,52.2801,0.438,0.485,0.337257,0.35
SPU_007970,Sp-Ints3_1,integrator complex subunit 3-1,BAC11329.1,519,291,0.0222,0.4688,0.04729,1.62473,0.04096,-1738.73,-1731.14,-1730.94,0.39898,0.358055,0.395092,1,51.49,48.8166,0.454,0.467,0.342718,0.362
SPU_026643,Sp-EmapL2,none,none,1545,1113,0.016,0.3007,0.0532,1.77548,0.03114,-6130.04,-6121.15,-6120.95,0.398604,0.358143,0.395151,1,54.95,51.682,0.479,0.491,0.361894,0.3705
SPU_018908,Sp-Six3,none,NP_571437.1,309,283,0.0098,0.1877,0.05203,1.97299,0.05284,-1448.85,-1446.92,-1446.72,0.397996,0.358496,0.395387,1,55.15,49.5626,0.547,0.569,0.36062,0.434
SPU_016988,Sp-Gucy1b2_2,"Guanylate cyclase soluble, beta-2 chain (GCS-beta-2)",14916977,447,194,0.0383,0.3774,0.10148,1.57705,0.04425,-1158.73,-1153.9,-1153.7,0.397994,0.358496,0.395387,1,52.11,52.0806,0.473,0.491,0.354751,0.361
SPU_001450,Sp-Rfp150L,ring finger protein 150,NP_065775.1,445,389,0.039,0.307,0.12709,2.28653,0.06295,-2331.32,-2324.78,-2324.58,0.39771,0.358584,0.395445,1,58.95,50.3963,0.496,0.53,0.352281,0.3175
SPU_011484,Sp-Hypp_1982,hypothetical protein-1982,EDO35079.1,341,203,0.1824,0.3413,0.53454,1.97637,0.31717,-1582.22,-1579.05,-1578.85,0.397706,0.358584,0.395445,1,56.87,55.2616,0.466,0.519,0.298423,0.3685
SPU_010627,Sp-Aof1,amine oxidase (flavin containing) domain 1,60685219,787,640,0.0484,0.4234,0.11426,1.94954,0.07104,-4133.92,-4121.93,-4121.73,0.396328,0.358936,0.39568,1,51.01,51.8418,0.465,0.419,0.354383,0.365
SPU_011720,Sp-Z90,none,AAH87833,1134,935,0.0586,0.2409,0.24309,1.55739,0.05837,-5447.34,-5431.69,-5431.49,0.394282,0.359464,0.396031,1,56.74,56.4804,0.482,0.447,0.332772,0.3865
SPU_022642,Sp-Ankhd1,ankyrin repeat and KH domain containing 1,AAG41779.1,1143,900,0.0295,0.359,0.08231,3.02786,0.04865,-5432.18,-5418.79,-5418.6,0.39413,0.359464,0.396031,1,52.71,46.6193,0.572,0.627,0.359908,0.3635
SPU_003293,Sp-Fn3/Egff_8,none,none,670,432,0.1626,0.3313,0.49065,2.13939,0.46441,-3279.6,-3265.65,-3265.45,0.393684,0.359641,0.396149,1,59.26,57.6503,0.485,0.448,0.357258,0.3495
SPU_025367,Sp-Cpt1a_1,"Carnitine O-palmitoyltransferase I, mitochondrial liver isoform (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A) ",56405343,772,594,0.0327,0.2763,0.11838,1.60713,0.04376,-3369.45,-3363.78,-3363.58,0.392314,0.359993,0.396383,1,55.01,49.4276,0.477,0.519,0.34861,0.4115
SPU_011002,Sp-Cebpg,"CCAAT/enhancer binding protein (C/EBP), gamma",NP_001797.1,232,208,0.0525,0.2755,0.19065,2.64768,0.06809,-1252.82,-1249.61,-1249.42,0.391238,0.360345,0.396617,1,49.9,43.9271,0.533,0.618,NULL,0.32
SPU_025047,Sp-Rif1L,Rap1 interacting factor 1,XP_422162.2,625,358,0.053,0.3929,0.13479,2.89415,0.0847,-2292.55,-2281.64,-2281.45,0.390774,0.360433,0.396676,1,57.64,50.8239,0.519,0.57,0.341814,0.4125
SPU_011405,Sp-Hrh3L_10,histamine receptor H3-like-10,AAK02070.1,394,298,0.1027,0.418,0.24562,2.72219,0.26031,-2145.03,-2129.26,-2129.07,0.390468,0.360521,0.396734,1,61,59.1156,0.452,0.477,NULL,0.373846
SPU_003008,Sp-Tbc1d1,"TBC1 (tre-2/USP6, BUB2, cdc16) domain family member 1",XP_536262.2,534,472,0.0469,0.2029,0.2311,3.10048,0.145,-2680.65,-2671.83,-2671.64,0.388992,0.360874,0.396968,1,55.53,52.8068,0.462,0.483,0.359359,0.3375
SPU_010988,Sp-Hrh4L_4,histamine receptor H4-like-4,EDL01579.1,378,168,0.1155,0.564,0.20476,1.90068,0.14279,-1300.21,-1292.54,-1292.35,0.388632,0.36105,0.397085,1,58.15,52.3031,0.454,0.49,0.356561,0.3765
SPU_016652,Sp-Ddo_1,D-aspartate oxidase (DASOX) (DDO),2494037,374,255,0.1212,0.3099,0.39096,1.85855,0.20585,-1816.36,-1811.07,-1810.88,0.388356,0.36105,0.397085,1,59.51,55.1501,0.494,0.476,0.363091,0.34
SPU_020426,Sp-Abca5_1,"ATP-binding cassette, sub-family A , member 5 ",27262626,838,316,0.0359,0.2504,0.14339,2.38092,0.1456,-1792.56,-1786.39,-1786.19,0.387528,0.361314,0.39726,1,53.36,45.6257,0.513,0.595,0.354246,0.416118
SPU_024702,Sp-Ptges2,prostaglandin E synthase 2,AAH09397.2,398,187,0.0323,0.3018,0.10702,3.54673,0.0355,-1053.14,-1048.92,-1048.72,0.38688,0.361402,0.397318,1,55.61,52.8805,0.459,0.46,0.371924,0.333333
SPU_005265,Sp-Hat1,histone acetyltransferase 1,NP_003633.1,413,308,0.0147,0.3617,0.04066,3.17691,0.03163,-1742.81,-1739.03,-1738.84,0.385768,0.361667,0.397494,1,51.46,44.1915,0.488,0.591,0.348289,0.379
SPU_019318,Sp-Rbp2,"Retinol-binding protein II, cellular (CRBP-II)",1710093,143,132,0.1022,0.3051,0.33509,2.00221,0.28831,-876.445,-870.115,-869.922,0.385524,0.361667,0.397494,1,61,58.1128,0.438,0.496,0.335224,0.4015
SPU_027875,Sp-Brp16,brain protein 16; human chromosome 8 open reading frame 30A,ACH70726.1,372,305,0.0597,0.2947,0.20252,2.87452,0.08586,-1841.87,-1835.8,-1835.6,0.385226,0.361931,0.397669,1,55.22,58.3344,0.461,0.482,0.311669,0.402
SPU_019096,Sp-AdprhL2,ADP-ribosylhydrolase like 2; ecto ADP-ribosylhydrolase; poly(ADP-ribose) glycohydrolase ARH3,AAH23177.2,291,167,0.0655,0.2739,0.23931,2.20845,0.20212,-1031,-1025.45,-1025.26,0.384702,0.362019,0.397727,1,55.64,54.1869,0.506,0.512,0.376031,0.399635
SPU_018866,Sp-Rps8,ribosomal protein S8 ,NP_001003,176,109,0.0217,0.2702,0.08037,3.46562,0.06128,-606.688,-604.531,-604.339,0.384108,0.362195,0.397843,1,46.74,42.9672,0.519,0.556,0.362159,0.373838
SPU_012729,Sp-Hypp_2047,hypothetical protein-2047,XP_002202480.1,400,178,0.0431,0.2227,0.19373,2.0665,0.05862,-987.043,-984.021,-983.829,0.383146,0.362459,0.398018,1,55.24,55.3616,0.488,0.439,0.359491,0.37
SPU_014205,Sp-Taar7aL,trace amine-associated receptor 7a-like,NP_783175.1,454,359,0.0937,0.2913,0.32162,2.38891,0.19988,-2361.54,-2352.77,-2352.58,0.383026,0.362459,0.398018,1,60.26,56.4333,0.465,0.505,NULL,0.3455
SPU_028265,Sp-Usp10,ubiquitin specific protease 10,NP_005144 ,360,286,0.0313,0.3844,0.08144,1.78694,0.04756,-1714.09,-1704.44,-1704.24,0.38296,0.362459,0.398018,1,55.75,50.6323,0.472,0.487,0.363886,0.359
SPU_003944,Sp-Usp32,ubiquitin specific protease 32,NP_115971,274,230,0.042,0.3457,0.12149,2.57721,0.13552,-1396.72,-1390.03,-1389.84,0.381848,0.362988,0.398367,1,56,51.049,0.476,0.502,0.356914,0.3515
SPU_021856,Sp-Serinc3,serine incorporator 3; tumor differentially expressed protein 1,BAG62311.1,477,343,0.0465,0.2196,0.2116,2.50861,0.18828,-1949.22,-1942.88,-1942.69,0.381354,0.363076,0.398425,1,57.73,54.911,0.461,0.448,0.349818,0.359487
SPU_014481,Sp-Rabif,guanine nucleotide exchange factor MSS4; RAB-interacting factor,P47224.1,150,116,0.0875,0.4178,0.20941,1.37495,0.15499,-778.674,-768.099,-767.909,0.38096,0.363164,0.398483,1,60.12,56.0908,0.469,0.451,0.37193,0.333834
SPU_009508,Sp-Ust_1,uronyl-2-sulfotransferase,none,417,281,0.139,0.2776,0.5007,1.58297,0.45543,-1981.28,-1973.45,-1973.26,0.380476,0.363252,0.398542,1,56.31,55.6745,0.439,0.471,0.35929,0.4105
SPU_028238,Sp-Inpp1,Inositol polyphosphate 1-phosphatase (IPPase) (IPP),51704296,302,211,0.077,0.2125,0.36229,3.25097,0.03961,-1287.92,-1287.37,-1287.18,0.378152,0.363869,0.398948,1,51.66,43.026,0.5,0.5,0.345377,0.343
SPU_003387,Sp-Ercc8,Cockayne syndrome WD repeat protein CSA homolog ,AJ427222,348,283,0.0253,0.3969,0.06374,2.43592,0.04261,-1666.57,-1659.38,-1659.19,0.377978,0.363869,0.398948,1,54.92,48.365,0.488,0.518,0.37798,0.3855
SPU_007643,Sp-Hypp_1739,hypothetical protein-1739,XP_002221036.1,356,225,0.052,0.5251,0.09898,0.76845,0.01129,-1388.97,-1377.55,-1377.36,0.3772,0.363869,0.398948,1,53.39,47.1718,0.494,0.582,0.366343,0.3305
SPU_010488,Sp-Hip1_1,Huntingtin interacting protein 1,XP_546932,734,440,0.0358,0.3185,0.11239,1.94559,0.02978,-2562.89,-2560.2,-2560.01,0.375366,0.364573,0.399412,1,52.97,48.058,0.488,0.529,0.35269,0.389
SPU_002429,Sp-Slc7a8,Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2),12585264,348,307,0.0566,0.3961,0.14278,2.08339,0.07164,-2014.91,-2003.07,-2002.88,0.373742,0.365454,0.399991,1,55.57,57.4762,0.451,0.396,0.361769,0.368
SPU_003844,Sp-Dcamkl,doublecortin-like and CaM kinase-like ,XP_792471.1,419,225,0.012,0.1966,0.06105,3.40397,0.01169,-1135.59,-1133.69,-1133.5,0.37295,0.36563,0.400107,1,53.28,43.69,0.498,0.607,0.352223,0.36359
SPU_014233,Sp-Mpnd,MPN domain containing,EDL23704.1,461,394,0.0286,0.3074,0.09309,3.11423,0.02079,-2241.84,-2237.24,-2237.05,0.372594,0.36563,0.400107,1,57.12,52.8302,0.464,0.5,0.342041,0.3485
SPU_017594,Sp-Dis3L,DIS3 mitotic control homolog (S. cerevisiae)-like; DIS3-like exonuclease 1,BAD32588.1,833,342,0.0424,0.2936,0.14452,1.79734,0.06417,-1984.54,-1977.55,-1977.37,0.371696,0.365718,0.400164,1,52.61,54.5746,0.451,0.397,0.326046,0.375676
SPU_014108,Sp-Tctex1d2,Tctex1 domain containing 2,AAH21177.1,178,132,0.1112,0.4229,0.26296,1.63687,0.00971,-967.851,-959.97,-959.785,0.369572,0.366599,0.400742,1,56.75,51.9239,0.532,0.561,NULL,0.352
SPU_004703,Sp-Acnat2L,acyl-coenzyme A amino acid N-acyltransferase 2-like,BAC34207.1,460,243,0.0351,0.223,0.15762,1.88914,0.01722,-1354.79,-1349.97,-1349.79,0.36949,0.366599,0.400742,1,60.43,56.8624,0.479,0.473,0.337867,0.338
SPU_025590,Sp-FoxM,none,NP_957391,752,581,0.0634,0.3565,0.17799,3.26516,0.10508,-3748.47,-3739.29,-3739.1,0.367872,0.366951,0.400973,1,57.91,52.557,0.511,0.531,0.321997,0.327
SPU_027655,Sp-Tufm,Mitochondrial Translational Elongation Factor Tu,NM_174207,452,343,0.0316,0.3921,0.0807,1.96115,0.0519,-2077.71,-2065.59,-2065.4,0.365062,0.367744,0.401491,1,56.01,51.5733,0.486,0.493,0.348468,0.322051
SPU_019461,Sp-C12orf51_2,human chromosome 12 open reading frame 51-2,BAA31589.3,1275,876,0.0247,0.2192,0.11247,2.70517,0.0807,-4772.78,-4759.27,-4759.09,0.364824,0.367744,0.401491,1,53.88,48.9968,0.532,0.572,0.373181,0.338
SPU_012239,Sp-Cern,none,none,337,284,0.0592,0.2331,0.25398,2.43577,0.05582,-1674.49,-1672.59,-1672.4,0.364422,0.368008,0.401664,1,50.37,54.563,0.447,0.409,0.337662,0.3585
SPU_028664,Sp-Bat5,HLA-B associated transcript 5,NP_997696.1,532,365,0.026,0.2667,0.09748,2.3639,0.03455,-2043.01,-2037.65,-2037.46,0.363692,0.368449,0.401952,1,53.86,52.5525,0.454,0.448,0.340353,0.385337
SPU_013628,Sp-Ccdc108_1,coiled-coil domain containing 108-1,AAI30282.1,441,252,0.0423,0.2801,0.15104,2.19249,0.05778,-1452.3,-1447.1,-1446.92,0.363678,0.368449,0.401952,1,53.11,46.1349,0.511,0.556,0.347401,0.4405
SPU_001751,Sp-Ctsl,cathepsin L,BAE38161.1,323,168,0.0509,0.4554,0.11167,2.22394,0.06604,-1077.97,-1070.57,-1070.39,0.363554,0.368449,0.401952,1,53.42,45.5319,0.524,0.583,0.36119,0.3255
SPU_026980,Sp-Kbtbd8,kelch repeat and BTB (POZ) domain containing 8,AAI17488.1,591,444,0.0282,0.3887,0.07253,2.71652,0.00365,-2669.09,-2666.19,-2666.01,0.363448,0.368449,0.401952,1,56.42,53.5503,0.485,0.52,0.378505,0.336668
SPU_024082,Sp-Hsp90L,"HSP90, heat shock protein 90",none,283,210,0.0154,0.2234,0.06882,2.7084,0.06098,-1071.96,-1069.87,-1069.69,0.363338,0.368449,0.401952,1,43.22,38.926,0.478,0.536,0.361515,0.36
SPU_010644,Sp-B3galt1_9,"Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3GalT1) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1, 3-galactosyltransferase 1)",61212254,374,324,0.0562,0.3249,0.17284,1.92389,0.03246,-2014.02,-2009.62,-2009.44,0.363252,0.368625,0.402066,1,61,59.1192,0.463,0.499,NULL,0.3755
SPU_028835,Sp-Tfip11,tuftelin interacting protein 11,NP_001008292.1,396,222,0.0367,0.2909,0.12621,2.17179,0.12641,-1274.78,-1268.11,-1267.93,0.363246,0.368625,0.402066,1,56.09,55.2956,0.481,0.437,0.356966,0.388718
SPU_019647,Sp-C20orf3_1,chromosome 20 open reading frame 3 - duplicate,NP_065392,281,214,0.0791,0.3014,0.26228,2.25317,0.12478,-1373.52,-1368.52,-1368.34,0.363152,0.368625,0.402066,1,54.52,58.4529,0.444,0.36,0.336485,0.3165
SPU_013818,Sp-Kiaa0406L,KIAA0406 gene product-like,AAH13755.1,931,575,0.0534,0.3405,0.15692,3.20642,0.10953,-3616.32,-3598.2,-3598.02,0.361814,0.368977,0.402296,1,50.72,52.247,0.454,0.435,0.340232,0.377436
SPU_014664,Sp-Glur6_1,glutamate receptor 6,AAB31362.1,673,556,0.0302,0.3259,0.09258,1.72312,0.05439,-3216.3,-3199.35,-3199.17,0.361446,0.369065,0.402353,1,53.84,48.167,0.485,0.568,0.328983,0.389474
SPU_016574,Sp-Dhrsx_2,Dehydrogenase/reductase SDR family member on chromosome X precursor (DHRSXY),32469744,356,281,0.04,0.3276,0.12207,2.02564,0.04906,-1675.95,-1672.87,-1672.69,0.361442,0.369065,0.402353,1,55.86,48.6277,0.5,0.567,0.375058,0.3335
SPU_024050,Sp-Lrriq4,leucine-rich repeats and IQ motif containing 4-like,NP_001073929.1,728,621,0.0548,0.2301,0.23799,2.59873,0.179,-3689.92,-3678.7,-3678.52,0.361372,0.369065,0.402353,1,54.21,52.9845,0.452,0.506,0.328965,0.365
SPU_028665,Sp-Fn3f_47,none,NP_996816.1,1135,669,0.0334,0.2382,0.14036,2.85365,0.12154,-3780.21,-3768.4,-3768.22,0.361068,0.369153,0.40241,1,55.22,49.5984,0.512,0.536,0.335761,0.3335
SPU_010180,Sp-Tnfrsf_cl1,tumor necrosis factor receptor superfamily classical1,none,275,237,0.15,0.2781,0.53954,3.09229,0.41487,-1683.25,-1677.26,-1677.08,0.360858,0.369153,0.40241,1,61,53.5072,0.533,0.558,0.341571,0.3755
SPU_010373,Sp-Crk1L,v-crk sarcoma virus CT10 oncogene homolog (avian)-like-like,CAA62220.1,492,448,0.0288,0.2534,0.11374,1.74402,0.10691,-2516.34,-2505.83,-2505.65,0.359192,0.369682,0.402755,1,57.87,56.0391,0.473,0.443,0.34673,0.3625
SPU_010743,Sp-Eif2Bd,Translation initiation factor eIF-2B delta subunit,Q9UI10,508,323,0.037,0.3223,0.11492,1.75817,0.05492,-1886.49,-1876.48,-1876.31,0.358474,0.36977,0.402812,1,56.65,52.3694,0.497,0.524,0.349474,0.351
SPU_017656,Sp-Z10,none,CAA52847,490,444,0.0488,0.2865,0.17015,2.9037,0.00254,-2656.5,-2652.67,-2652.49,0.358416,0.36977,0.402812,1,61,59.938,0.499,0.479,NULL,0.365128
SPU_014424,Sp-Utp20_4,"UTP20, small subunit (SSU) processome component, homolog (yeast)-4",NP_055318.2,437,142,0.1041,0.3037,0.34284,1.78044,0.30992,-950.561,-945.151,-944.972,0.358036,0.370034,0.402984,1,53.57,50.585,0.457,0.514,0.350637,0.424103
SPU_020497,Sp-Atp6v0a1_3,Vacuolar proton translocating ATPase 116 kDa subunit a (V-ATPase 116-kDa isoform a1) (Clathrin-coated vesicle/synaptic vesicle proton pump 116 kDa subunit) (Vacuolar proton pump subunit 1) (Vacuolar adenosine triphosphatase subunit Ac116 ,12643966,365,358,0.0442,0.1433,0.30821,2.2857,0.24289,-1951.93,-1948.23,-1948.05,0.356472,0.370563,0.403328,1,56.09,55.9238,0.431,0.41,0.340554,0.3185
SPU_023739,Sp-Pbx_1,Exd,NP_571691.1,317,265,0.0034,0.2256,0.01505,3.99878,0.01105,-1309.47,-1309.45,-1309.27,0.356296,0.370651,0.403385,1,52.87,43.7958,0.579,0.669,0.369344,0.371
SPU_000961,Sp-Ptb,polypyrimidine tract-binding protein,P26599,583,514,0.0148,0.2266,0.06544,2.02946,0.07024,-2676.8,-2671.34,-2671.16,0.355642,0.370915,0.403556,1,54.68,45.2393,0.529,0.6,0.379558,0.423
SPU_006947,Sp-Mnk,MAP kinase interacting protein kinase,Q9BUB5,531,416,0.0143,0.3224,0.04447,1.66422,0.00153,-2235.19,-2231.9,-2231.72,0.354916,0.371267,0.403784,1,53.9,44.9984,0.532,0.625,0.380771,0.3695
SPU_000191,Sp-Cmpk,UMP-CMP (Uridine monophosphate/cytidine monophosphate) kinase;,17389257,246,175,0.0693,0.3921,0.17673,2.49608,0.11689,-1129.35,-1118.62,-1118.45,0.35463,0.371356,0.403842,1,53.38,58.6655,0.453,0.404,0.366109,0.3525
SPU_015301,Sp-2Pde_1,2'-phosphodiesterase ,AB115695,582,233,0.0552,0.4842,0.11401,2.18532,0.01022,-1540.53,-1531.47,-1531.3,0.354504,0.371356,0.403842,1,53.92,54.9528,0.434,0.423,0.321632,0.344279
SPU_026222,Sp-ReelerL_5,none,none,226,166,0.073,0.2829,0.25806,1.6416,0.07282,-1052.18,-1050.07,-1049.9,0.353788,0.371796,0.404127,1,58.99,53.293,0.501,0.525,0.345235,0.3585
SPU_012249,Sp-Hypp_2022,hypothetical protein-2022,CAK67973.1,381,210,0.1214,0.3002,0.40445,2.88965,0.37453,-1444.92,-1438.49,-1438.31,0.353508,0.371884,0.404184,1,58.43,49.4495,0.473,0.545,0.362792,0.4045
SPU_009593,Sp-Slbp,Histone RNA hairpin-binding protein,none,525,262,0.1008,0.3523,0.28621,2.77957,0.03271,-1793.63,-1781.34,-1781.16,0.353408,0.371884,0.404184,1,53.99,47.0356,0.5,0.566,0.34794,0.361469
SPU_028689,Sp-Lrig1,leucine-rich repeats and immunoglobulin-like domains 1,AAU44786.1,739,566,0.0162,0.3592,0.04504,3.05658,0.0419,-3256.71,-3249.13,-3248.95,0.351776,0.372589,0.40464,1,55.11,49.6813,0.535,0.587,0.327221,0.3765
SPU_000012,Sp-Agmat,"Agmatinase, mitochondrial precursor (Agmatine ureohydrolase) (AUH)",20140087,388,178,0.0523,0.3764,0.13894,2.4462,0.1449,-1144.81,-1137.28,-1137.1,0.351346,0.372677,0.404697,1,54.42,50.4572,0.507,0.455,0.358192,0.342564
SPU_019362,Sp-Chrm2L_6,"cholinergic receptor, muscarinic 2-like-6",NP_001205936.1,307,205,0.0431,0.2457,0.17558,2.27721,0.00409,-1131.05,-1131.03,-1130.85,0.350652,0.372765,0.404754,1,52.04,45.1644,0.515,0.639,NULL,0.35
SPU_015587,Sp-Notum,"Wingful, WF",NP_730096 ,451,103,0.0288,0.5176,0.05572,1.22512,0.07118,-625.643,-621.35,-621.175,0.350516,0.372941,0.404868,1,57.22,54.2743,0.489,0.473,0.370995,0.385
SPU_006047,Sp-Cct8," chaperonin containing TCP1, subunit 8 (theta)",NP_006576 ,435,327,0.0443,0.3215,0.13784,2.39737,0.06292,-1987.53,-1980.72,-1980.55,0.349886,0.372941,0.404868,1,54.46,48.7818,0.495,0.551,0.35946,0.387312
SPU_017208,Sp-Fn3_4,none,NP_996816.1,1514,1280,0.025,0.227,0.10992,3.19435,0.04262,-7061.41,-7048.32,-7048.15,0.349416,0.373029,0.404925,1,52.88,53.638,0.475,0.41,0.336366,0.333
SPU_006216,Sp-Flj20433L,hypothetical protein FLJ20433,NP_060290,943,577,0.0788,0.2926,0.26921,1.60819,0.04299,-3714.44,-3700.48,-3700.31,0.349292,0.373029,0.404925,1,56.44,53.9599,0.47,0.477,0.358609,0.3255
SPU_026993,Sp-HpcaL1,hippocalcin-like 1,NP_057886.1,213,124,0.0136,0.3661,0.03702,2.99912,0.03815,-644.467,-642.441,-642.266,0.349018,0.373029,0.404925,1,61,50.2299,0.482,0.586,0.40301,0.3545
SPU_009417,Sp-Ugt2b33,UDP-glucuronosyltransferase 2B33 precursor (UDPGT)  ,62511230,520,393,0.058,0.2125,0.27285,2.07301,0.15038,-2307.99,-2301.05,-2300.87,0.348454,0.373293,0.405095,1,61,57.596,0.459,0.489,0.35548,0.3435
SPU_001924,Sp-Cant1,Soluble calcium-activated nucleotidase 1 (SCAN-1) (Apyrase homolog),71153846,398,341,0.0403,0.2872,0.1404,2.17428,0.06033,-1965.86,-1957.78,-1957.61,0.34796,0.373558,0.405266,1,61,53.0567,0.477,0.517,0.344709,0.302051
SPU_027830,Sp-C12orf26,human chromosome 12 open reading frame 26,EAW97381.1,416,271,0.0906,0.4946,0.18321,1.65998,0.09362,-1920.16,-1915.41,-1915.24,0.347528,0.373822,0.405437,1,55.37,53.2359,0.467,0.475,0.359516,0.388
SPU_012288,Sp-Sdr_3,short-chain dehydrogenease/reductase (Bombyx mori),NP_001040154.1,257,206,0.0467,0.3618,0.12907,5.86605,0.07448,-1281,-1274.55,-1274.38,0.34671,0.373822,0.405437,1,54.08,54.5689,0.481,0.441,0.347169,0.382
SPU_008133,Sp-Porcupine,porcupine homolog,BAA89472 ,516,427,0.0592,0.3227,0.18342,2.10271,0.17593,-2686.05,-2669.03,-2668.85,0.346484,0.373822,0.405437,1,54.92,55.6396,0.443,0.417,0.344258,0.384
SPU_006297,Sp-Gdpd1,glycerophosphodiester phosphodiesterase domain containing 1,62859959,311,233,0.0597,0.2487,0.23999,3.73254,0.07964,-1412.31,-1406.63,-1406.45,0.34622,0.373822,0.405437,1,59.79,57.6096,0.446,0.456,0.337315,0.351
SPU_028106,Sp-Mfsd5,major facilitator superfamily domain containing 5,CAE45795.1,453,342,0.0276,0.6067,0.04555,2.20565,0.0443,-2237.86,-2226.04,-2225.87,0.3455,0.374174,0.405663,1,53.47,48.7915,0.528,0.656,NULL,0.377
SPU_017480,Sp-Hypp_880,hypothetical protein-880; kin of IRRE like 2 (Drosophila)-like,XP_001079957.1,690,561,0.1416,0.3565,0.39722,2.56066,0.30991,-4206.81,-4185.38,-4185.21,0.344622,0.374527,0.405891,1,57.93,57.5585,0.495,0.447,NULL,0.3485
